Country,Fatal (Y/N)
ALGERIA,Y
AMERICAN SAMOA,Y
AMERICAN SAMOA,Y
AMERICAN SAMOA,Y
ANDAMAN / NICOBAR ISLANDAS,Y
ARUBA,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
